,GM,Phase,T,X(AL),X(PT),"Y(FCC_L12,0,AL)","Y(FCC_L12,0,PT)","Y(FCC_L12,1,AL)","Y(FCC_L12,1,PT)","Y(FCC_L12,2,AL)","Y(FCC_L12,2,PT)","Y(FCC_L12,3,AL)","Y(FCC_L12,3,PT)","Y(FCC_L12,4,VA)"
0,-54976.3249728466,FCC_L12,1200.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,-103099.55832606029,FCC_L12,1200.0,0.75,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2,-103099.55832606029,FCC_L12,1200.0,0.75,0.25,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
3,-150284.31982927397,FCC_L12,1200.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
4,-103099.55832606029,FCC_L12,1200.0,0.75,0.25,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
5,-150284.31982927397,FCC_L12,1200.0,0.5,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
6,-150284.31982927397,FCC_L12,1200.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
7,-131278.28133248762,FCC_L12,1200.0,0.25,0.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
8,-103099.55832606029,FCC_L12,1200.0,0.75,0.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
9,-150284.31982927397,FCC_L12,1200.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
10,-150284.31982927397,FCC_L12,1200.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
11,-131278.28133248762,FCC_L12,1200.0,0.25,0.75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
12,-150284.31982927397,FCC_L12,1200.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
13,-131278.28133248762,FCC_L12,1200.0,0.25,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
14,-131278.28133248762,FCC_L12,1200.0,0.25,0.75,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
15,-70829.11468570128,FCC_L12,1200.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
16,-138856.79537939257,FCC_L12,1200.0,0.45326941404717,0.54673058595283,0.3868528072345416,0.6131471927654585,0.4526808302869427,0.5473191697130572,0.4831695230146247,0.5168304769853754,0.4903744956525711,0.5096255043474288,1.0
17,-135906.2657895735,FCC_L12,1200.0,0.5400313487977552,0.45996865120224484,0.7737056144690831,0.22629438553091685,0.4224380114323838,0.5775619885676162,0.47664591965831166,0.5233540803416884,0.48733584963124194,0.512664150368758,1.0
18,-136145.87358229185,FCC_L12,1200.0,0.361540865274995,0.638459134725005,0.11577178260451935,0.8842282173954806,0.3761260516634805,0.6238739483365194,0.4697980775619261,0.5302019224380738,0.48446754927005414,0.5155324507299459,1.0
19,-138421.25921558918,FCC_L12,1200.0,0.48696707053407595,0.513032929465924,0.7194373997043944,0.2805626002956057,0.2850729976957148,0.7149270023042852,0.4618642542975322,0.5381357457024677,0.48149363043866267,0.5185063695613373,1.0
